x, y, probability density 
148.5, 22.5, 0.00000E+00 
157.5, 22.5, 0.00000E+00 
166.5, 22.5, 0.00000E+00 
175.5, 22.5, 0.00000E+00 
-175.5, 13.5, 2.46914E-08 
-166.5, 13.5, 1.23457E-07 
-157.5, 13.5, 9.62963E-07 
-148.5, 13.5, 3.06173E-06 
-139.5, 13.5, 8.29630E-06 
-130.5, 13.5, 1.61481E-05 
-121.5, 13.5, 2.32099E-05 
-112.5, 13.5, 2.60494E-05 
-103.5, 13.5, 2.68642E-05 
-94.5, 13.5, 3.18519E-05 
-85.5, 13.5, 3.32593E-05 
-76.5, 13.5, 2.45185E-05 
-67.5, 13.5, 9.06173E-06 
-58.5, 13.5, 1.90123E-06 
-49.5, 13.5, 9.87654E-08 
-40.5, 13.5, 0.00000E+00 
-31.5, 13.5, 0.00000E+00 
-22.5, 13.5, 0.00000E+00 
-13.5, 13.5, 0.00000E+00 
-4.5, 13.5, 0.00000E+00 
4.5, 13.5, 0.00000E+00 
13.5, 13.5, 0.00000E+00 
22.5, 13.5, 0.00000E+00 
31.5, 13.5, 2.46914E-08 
40.5, 13.5, 1.48148E-07 
49.5, 13.5, 1.77778E-06 
58.5, 13.5, 7.82716E-06 
67.5, 13.5, 1.03951E-05 
76.5, 13.5, 5.70370E-06 
85.5, 13.5, 1.87654E-06 
94.5, 13.5, 2.71605E-07 
103.5, 13.5, 0.00000E+00 
112.5, 13.5, 0.00000E+00 
121.5, 13.5, 0.00000E+00 
130.5, 13.5, 0.00000E+00 
139.5, 13.5, 0.00000E+00 
148.5, 13.5, 0.00000E+00 
157.5, 13.5, 0.00000E+00 
166.5, 13.5, 0.00000E+00 
175.5, 13.5, 0.00000E+00 
-175.5, 4.5, 2.46914E-08 
-166.5, 4.5, 9.87654E-08 
-157.5, 4.5, 6.91358E-07 
-148.5, 4.5, 3.23457E-06 
-139.5, 4.5, 8.17284E-06 
-130.5, 4.5, 1.81975E-05 
-121.5, 4.5, 2.78025E-05 
-112.5, 4.5, 3.55309E-05 
-103.5, 4.5, 4.42469E-05 
-94.5, 4.5, 5.38519E-05 
-85.5, 4.5, 5.98765E-05 
-76.5, 4.5, 5.40494E-05 
-67.5, 4.5, 2.13086E-05 
-58.5, 4.5, 4.41975E-06 
-49.5, 4.5, 2.46914E-07 
-40.5, 4.5, 0.00000E+00 
-31.5, 4.5, 0.00000E+00 
-22.5, 4.5, 0.00000E+00 
-13.5, 4.5, 0.00000E+00 
-4.5, 4.5, 0.00000E+00 
4.5, 4.5, 0.00000E+00 
13.5, 4.5, 0.00000E+00 
22.5, 4.5, 0.00000E+00 
31.5, 4.5, 0.00000E+00 
40.5, 4.5, 4.93827E-08 
49.5, 4.5, 6.91358E-07 
58.5, 4.5, 4.04938E-06 
67.5, 4.5, 8.27160E-06 
76.5, 4.5, 5.55556E-06 
85.5, 4.5, 1.65432E-06 
94.5, 4.5, 1.97531E-07 
103.5, 4.5, 9.87654E-08 
112.5, 4.5, 0.00000E+00 
121.5, 4.5, 0.00000E+00 
130.5, 4.5, 0.00000E+00 
139.5, 4.5, 0.00000E+00 
148.5, 4.5, 0.00000E+00 
157.5, 4.5, 0.00000E+00 
166.5, 4.5, 0.00000E+00 
175.5, 4.5, 0.00000E+00 
-175.5, -4.5, 7.40741E-08 
-166.5, -4.5, 1.23457E-07 
-157.5, -4.5, 1.08642E-06 
-148.5, -4.5, 2.32099E-06 
-139.5, -4.5, 6.96296E-06 
-130.5, -4.5, 1.55556E-05 
-121.5, -4.5, 2.87901E-05 
-112.5, -4.5, 4.16296E-05 
-103.5, -4.5, 5.53827E-05 
-94.5, -4.5, 7.91111E-05 
-85.5, -4.5, 1.02370E-04 
-76.5, -4.5, 9.97037E-05 
-67.5, -4.5, 4.90370E-05 
-58.5, -4.5, 1.07654E-05 
-49.5, -4.5, 1.06173E-06 
-40.5, -4.5, 2.46914E-08 
-31.5, -4.5, 0.00000E+00 
-22.5, -4.5, 0.00000E+00 
-13.5, -4.5, 0.00000E+00 
-4.5, -4.5, 0.00000E+00 
4.5, -4.5, 0.00000E+00 
13.5, -4.5, 0.00000E+00 
22.5, -4.5, 0.00000E+00 
31.5, -4.5, 0.00000E+00 
40.5, -4.5, 0.00000E+00 
49.5, -4.5, 4.44444E-07 
58.5, -4.5, 1.77778E-06 
67.5, -4.5, 5.03704E-06 
76.5, -4.5, 4.39506E-06 
85.5, -4.5, 1.67901E-06 
94.5, -4.5, 2.96296E-07 
103.5, -4.5, 0.00000E+00 
112.5, -4.5, 0.00000E+00 
121.5, -4.5, 0.00000E+00 
130.5, -4.5, 0.00000E+00 
139.5, -4.5, 0.00000E+00 
148.5, -4.5, 0.00000E+00 
157.5, -4.5, 0.00000E+00 
166.5, -4.5, 0.00000E+00 
175.5, -4.5, 0.00000E+00 
-175.5, -13.5, 2.46914E-08 
-166.5, -13.5, 1.97531E-07 
-157.5, -13.5, 5.92593E-07 
-148.5, -13.5, 2.39506E-06 
-139.5, -13.5, 5.97531E-06 
-130.5, -13.5, 1.27407E-05 
-121.5, -13.5, 2.43704E-05 
-112.5, -13.5, 3.93333E-05 
-103.5, -13.5, 5.65432E-05 
-94.5, -13.5, 8.80741E-05 
-85.5, -13.5, 1.24321E-04 
-76.5, -13.5, 1.46074E-04 
-67.5, -13.5, 9.14321E-05 
-58.5, -13.5, 2.55556E-05 
-49.5, -13.5, 2.98765E-06 
-40.5, -13.5, 7.40741E-08 
-31.5, -13.5, 0.00000E+00 
-22.5, -13.5, 0.00000E+00 
-13.5, -13.5, 0.00000E+00 
-4.5, -13.5, 0.00000E+00 
4.5, -13.5, 0.00000E+00 
13.5, -13.5, 0.00000E+00 
22.5, -13.5, 0.00000E+00 
31.5, -13.5, 0.00000E+00 
40.5, -13.5, 2.46914E-08 
49.5, -13.5, 3.45679E-07 
58.5, -13.5, 1.77778E-06 
67.5, -13.5, 3.85185E-06 
76.5, -13.5, 3.85185E-06 
85.5, -13.5, 1.03704E-06 
94.5, -13.5, 1.23457E-07 
103.5, -13.5, 0.00000E+00 
112.5, -13.5, 0.00000E+00 
121.5, -13.5, 0.00000E+00 
130.5, -13.5, 0.00000E+00 
139.5, -13.5, 0.00000E+00 
148.5, -13.5, 0.00000E+00 
157.5, -13.5, 0.00000E+00 
166.5, -13.5, 0.00000E+00 
175.5, -13.5, 0.00000E+00 
-175.5, -22.5, 7.40741E-08 
-166.5, -22.5, 1.23457E-07 
-157.5, -22.5, 6.17284E-07 
-148.5, -22.5, 1.65432E-06 
-139.5, -22.5, 4.22222E-06 
-130.5, -22.5, 9.11111E-06 
-121.5, -22.5, 1.61235E-05 
-112.5, -22.5, 2.99506E-05 
-103.5, -22.5, 4.49383E-05 
-94.5, -22.5, 7.12099E-05 
-85.5, -22.5, 1.10049E-04 
-76.5, -22.5, 1.43235E-04 
-67.5, -22.5, 1.11086E-04 
-58.5, -22.5, 4.27160E-05 
-49.5, -22.5, 6.37037E-06 
-40.5, -22.5, 5.18519E-07 
-31.5, -22.5, 4.93827E-08 
-22.5, -22.5, 0.00000E+00 
-13.5, -22.5, 0.00000E+00 
-4.5, -22.5, 0.00000E+00 
4.5, -22.5, 0.00000E+00 
13.5, -22.5, 0.00000E+00 
22.5, -22.5, 0.00000E+00 
31.5, -22.5, 0.00000E+00 
40.5, -22.5, 2.46914E-08 
49.5, -22.5, 9.87654E-08 
58.5, -22.5, 1.03704E-06 
67.5, -22.5, 3.45679E-06 
76.5, -22.5, 3.30864E-06 
85.5, -22.5, 7.90123E-07 
94.5, -22.5, 9.87654E-08 
103.5, -22.5, 0.00000E+00 
112.5, -22.5, 0.00000E+00 
121.5, -22.5, 0.00000E+00 
130.5, -22.5, 0.00000E+00 
139.5, -22.5, 0.00000E+00 
148.5, -22.5, 0.00000E+00 
157.5, -22.5, 0.00000E+00 
166.5, -22.5, 0.00000E+00 
175.5, -22.5, 0.00000E+00 
-175.5, -31.5, 2.46914E-08 
-166.5, -31.5, 1.97531E-07 
-157.5, -31.5, 6.41975E-07 
-148.5, -31.5, 1.65432E-06 
-139.5, -31.5, 3.03704E-06 
-130.5, -31.5, 6.83951E-06 
-121.5, -31.5, 1.25926E-05 
-112.5, -31.5, 1.84938E-05 
-103.5, -31.5, 2.90370E-05 
-94.5, -31.5, 4.71358E-05 
-85.5, -31.5, 7.64938E-05 
-76.5, -31.5, 1.04519E-04 
-67.5, -31.5, 9.20000E-05 
-58.5, -31.5, 4.71358E-05 
-49.5, -31.5, 1.14815E-05 
-40.5, -31.5, 1.18519E-06 
-31.5, -31.5, 7.40741E-08 
-22.5, -31.5, 0.00000E+00 
-13.5, -31.5, 0.00000E+00 
-4.5, -31.5, 0.00000E+00 
4.5, -31.5, 0.00000E+00 
13.5, -31.5, 0.00000E+00 
22.5, -31.5, 0.00000E+00 
31.5, -31.5, 0.00000E+00 
40.5, -31.5, 0.00000E+00 
49.5, -31.5, 2.71605E-07 
58.5, -31.5, 7.90123E-07 
67.5, -31.5, 3.50617E-06 
76.5, -31.5, 2.66667E-06 
85.5, -31.5, 1.06173E-06 
94.5, -31.5, 1.23457E-07 
103.5, -31.5, 0.00000E+00 
112.5, -31.5, 0.00000E+00 
121.5, -31.5, 0.00000E+00 
130.5, -31.5, 0.00000E+00 
139.5, -31.5, 0.00000E+00 
148.5, -31.5, 0.00000E+00 
157.5, -31.5, 0.00000E+00 
166.5, -31.5, 0.00000E+00 
175.5, -31.5, 0.00000E+00 
-175.5, -40.5, 7.40741E-08 
-166.5, -40.5, 1.48148E-07 
-157.5, -40.5, 4.69136E-07 
-148.5, -40.5, 1.53086E-06 
-139.5, -40.5, 2.24691E-06 
-130.5, -40.5, 4.74074E-06 
-121.5, -40.5, 6.61728E-06 
-112.5, -40.5, 1.10617E-05 
-103.5, -40.5, 1.68889E-05 
-94.5, -40.5, 2.62716E-05 
-85.5, -40.5, 4.25185E-05 
-76.5, -40.5, 5.86914E-05 
-67.5, -40.5, 5.85926E-05 
-58.5, -40.5, 3.65432E-05 
-49.5, -40.5, 1.14321E-05 
-40.5, -40.5, 2.34568E-06 
-31.5, -40.5, 1.72840E-07 
-22.5, -40.5, 2.46914E-08 
-13.5, -40.5, 0.00000E+00 
-4.5, -40.5, 0.00000E+00 
4.5, -40.5, 0.00000E+00 
13.5, -40.5, 0.00000E+00 
22.5, -40.5, 0.00000E+00 
31.5, -40.5, 0.00000E+00 
40.5, -40.5, 0.00000E+00 
49.5, -40.5, 7.40741E-08 
58.5, -40.5, 6.91358E-07 
67.5, -40.5, 2.51852E-06 
76.5, -40.5, 3.01235E-06 
85.5, -40.5, 1.01235E-06 
94.5, -40.5, 1.23457E-07 
103.5, -40.5, 0.00000E+00 
112.5, -40.5, 0.00000E+00 
121.5, -40.5, 0.00000E+00 
130.5, -40.5, 0.00000E+00 
139.5, -40.5, 0.00000E+00 
148.5, -40.5, 0.00000E+00 
157.5, -40.5, 0.00000E+00 
166.5, -40.5, 0.00000E+00 
175.5, -40.5, 4.93827E-08 
-175.5, -49.5, 9.87654E-08 
-166.5, -49.5, 3.95062E-07 
-157.5, -49.5, 8.14815E-07 
-148.5, -49.5, 1.25926E-06 
-139.5, -49.5, 1.82716E-06 
-130.5, -49.5, 3.16049E-06 
-121.5, -49.5, 4.83951E-06 
-112.5, -49.5, 6.00000E-06 
-103.5, -49.5, 8.76543E-06 
-94.5, -49.5, 1.29877E-05 
-85.5, -49.5, 2.09136E-05 
-76.5, -49.5, 2.93827E-05 
-67.5, -49.5, 2.96790E-05 
-58.5, -49.5, 1.93086E-05 
-49.5, -49.5, 8.32099E-06 
-40.5, -49.5, 2.46914E-06 
-31.5, -49.5, 3.45679E-07 
-22.5, -49.5, 4.93827E-08 
-13.5, -49.5, 4.93827E-08 
-4.5, -49.5, 0.00000E+00 
4.5, -49.5, 0.00000E+00 
13.5, -49.5, 0.00000E+00 
22.5, -49.5, 0.00000E+00 
31.5, -49.5, 0.00000E+00 
40.5, -49.5, 0.00000E+00 
49.5, -49.5, 1.23457E-07 
58.5, -49.5, 1.13580E-06 
67.5, -49.5, 2.29630E-06 
76.5, -49.5, 2.74074E-06 
85.5, -49.5, 5.67901E-07 
94.5, -49.5, 7.40741E-08 
103.5, -49.5, 0.00000E+00 
112.5, -49.5, 0.00000E+00 
121.5, -49.5, 0.00000E+00 
130.5, -49.5, 0.00000E+00 
139.5, -49.5, 0.00000E+00 
148.5, -49.5, 0.00000E+00 
157.5, -49.5, 0.00000E+00 
166.5, -49.5, 0.00000E+00 
175.5, -49.5, 7.40741E-08 
-175.5, -58.5, 1.23457E-07 
-166.5, -58.5, 5.18519E-07 
-157.5, -58.5, 6.66667E-07 
-148.5, -58.5, 1.18519E-06 
-139.5, -58.5, 1.77778E-06 
-130.5, -58.5, 2.34568E-06 
-121.5, -58.5, 2.93827E-06 
-112.5, -58.5, 4.29630E-06 
-103.5, -58.5, 4.88889E-06 
-94.5, -58.5, 5.62963E-06 
-85.5, -58.5, 8.71605E-06 
-76.5, -58.5, 1.08395E-05 
-67.5, -58.5, 1.11111E-05 
-58.5, -58.5, 7.01235E-06 
-49.5, -58.5, 3.67901E-06 
-40.5, -58.5, 1.40741E-06 
-31.5, -58.5, 3.95062E-07 
-22.5, -58.5, 2.46914E-08 
-13.5, -58.5, 0.00000E+00 
-4.5, -58.5, 0.00000E+00 
4.5, -58.5, 0.00000E+00 
13.5, -58.5, 0.00000E+00 
22.5, -58.5, 0.00000E+00 
31.5, -58.5, 0.00000E+00 
40.5, -58.5, 0.00000E+00 
49.5, -58.5, 9.87654E-08 
58.5, -58.5, 5.92593E-07 
67.5, -58.5, 1.95062E-06 
76.5, -58.5, 1.87654E-06 
85.5, -58.5, 4.69136E-07 
94.5, -58.5, 1.72840E-07 
103.5, -58.5, 2.46914E-08 
112.5, -58.5, 0.00000E+00 
121.5, -58.5, 0.00000E+00 
130.5, -58.5, 0.00000E+00 
139.5, -58.5, 0.00000E+00 
148.5, -58.5, 0.00000E+00 
157.5, -58.5, 0.00000E+00 
166.5, -58.5, 0.00000E+00 
175.5, -58.5, 2.46914E-08 
-175.5, -67.5, 2.46914E-08 
-166.5, -67.5, 3.95062E-07 
-157.5, -67.5, 6.91358E-07 
-148.5, -67.5, 8.88889E-07 
-139.5, -67.5, 1.33333E-06 
-130.5, -67.5, 1.67901E-06 
-121.5, -67.5, 1.97531E-06 
-112.5, -67.5, 1.90123E-06 
-103.5, -67.5, 2.04938E-06 
-94.5, -67.5, 1.90123E-06 
-85.5, -67.5, 3.30864E-06 
-76.5, -67.5, 3.55556E-06 
-67.5, -67.5, 2.83951E-06 
-58.5, -67.5, 2.24691E-06 
-49.5, -67.5, 1.20988E-06 
-40.5, -67.5, 3.70370E-07 
-31.5, -67.5, 7.40741E-08 
-22.5, -67.5, 4.93827E-08 
-13.5, -67.5, 7.40741E-08 
-4.5, -67.5, 0.00000E+00 
4.5, -67.5, 0.00000E+00 
13.5, -67.5, 0.00000E+00 
22.5, -67.5, 0.00000E+00 
31.5, -67.5, 0.00000E+00 
40.5, -67.5, 0.00000E+00 
49.5, -67.5, 7.40741E-08 
58.5, -67.5, 4.69136E-07 
67.5, -67.5, 1.18519E-06 
76.5, -67.5, 1.18519E-06 
85.5, -67.5, 3.70370E-07 
94.5, -67.5, 7.40741E-08 
103.5, -67.5, 0.00000E+00 
112.5, -67.5, 0.00000E+00 
121.5, -67.5, 0.00000E+00 
130.5, -67.5, 0.00000E+00 
139.5, -67.5, 0.00000E+00 
148.5, -67.5, 0.00000E+00 
157.5, -67.5, 0.00000E+00 
166.5, -67.5, 0.00000E+00 
175.5, -67.5, 0.00000E+00 
-175.5, -76.5, 2.46914E-08 
-166.5, -76.5, 1.97531E-07 
-157.5, -76.5, 4.93827E-07 
-148.5, -76.5, 7.65432E-07 
-139.5, -76.5, 1.08642E-06 
-130.5, -76.5, 1.18519E-06 
-121.5, -76.5, 9.38272E-07 
-112.5, -76.5, 1.03704E-06 
-103.5, -76.5, 8.14815E-07 
-94.5, -76.5, 7.40741E-07 
-85.5, -76.5, 1.20988E-06 
-76.5, -76.5, 1.03704E-06 
-67.5, -76.5, 9.38272E-07 
-58.5, -76.5, 4.93827E-07 
-49.5, -76.5, 2.46914E-07 
-40.5, -76.5, 7.40741E-08 
-31.5, -76.5, 0.00000E+00 
-22.5, -76.5, 0.00000E+00 
-13.5, -76.5, 0.00000E+00 
-4.5, -76.5, 0.00000E+00 
4.5, -76.5, 0.00000E+00 
13.5, -76.5, 0.00000E+00 
22.5, -76.5, 0.00000E+00 
31.5, -76.5, 0.00000E+00 
40.5, -76.5, 0.00000E+00 
49.5, -76.5, 1.23457E-07 
58.5, -76.5, 3.45679E-07 
67.5, -76.5, 4.69136E-07 
76.5, -76.5, 5.18519E-07 
85.5, -76.5, 4.93827E-08 
94.5, -76.5, 2.46914E-08 
103.5, -76.5, 0.00000E+00 
112.5, -76.5, 0.00000E+00 
121.5, -76.5, 0.00000E+00 
130.5, -76.5, 0.00000E+00 
139.5, -76.5, 0.00000E+00 
148.5, -76.5, 0.00000E+00 
157.5, -76.5, 0.00000E+00 
166.5, -76.5, 0.00000E+00 
175.5, -76.5, 0.00000E+00 
-175.5, -85.5, 4.93827E-08 
-166.5, -85.5, 2.71605E-07 
-157.5, -85.5, 3.20988E-07 
-148.5, -85.5, 4.44444E-07 
-139.5, -85.5, 8.39506E-07 
-130.5, -85.5, 7.65432E-07 
-121.5, -85.5, 6.17284E-07 
-112.5, -85.5, 8.64198E-07 
-103.5, -85.5, 5.67901E-07 
-94.5, -85.5, 4.44444E-07 
-85.5, -85.5, 6.91358E-07 
-76.5, -85.5, 4.19753E-07 
-67.5, -85.5, 2.96296E-07 
-58.5, -85.5, 9.87654E-08 
-49.5, -85.5, 0.00000E+00 
-40.5, -85.5, 4.93827E-08 
-31.5, -85.5, 0.00000E+00 
-22.5, -85.5, 2.46914E-08 
-13.5, -85.5, 0.00000E+00 
-4.5, -85.5, 2.46914E-08 
4.5, -85.5, 0.00000E+00 
13.5, -85.5, 0.00000E+00 
22.5, -85.5, 0.00000E+00 
31.5, -85.5, 0.00000E+00 
40.5, -85.5, 2.46914E-08 
49.5, -85.5, 2.46914E-08 
58.5, -85.5, 3.70370E-07 
67.5, -85.5, 4.44444E-07 
76.5, -85.5, 2.71605E-07 
85.5, -85.5, 9.87654E-08 
94.5, -85.5, 0.00000E+00 
103.5, -85.5, 0.00000E+00 
112.5, -85.5, 0.00000E+00 
121.5, -85.5, 0.00000E+00 
130.5, -85.5, 0.00000E+00 
139.5, -85.5, 0.00000E+00 
148.5, -85.5, 0.00000E+00 
157.5, -85.5, 0.00000E+00 
166.5, -85.5, 0.00000E+00 
175.5, -85.5, 0.00000E+00 
-175.5, -94.5, 0.00000E+00 
-166.5, -94.5, 1.48148E-07 
-157.5, -94.5, 3.45679E-07 
-148.5, -94.5, 3.70370E-07 
-139.5, -94.5, 8.14815E-07 
-130.5, -94.5, 8.88889E-07 
-121.5, -94.5, 1.06173E-06 
-112.5, -94.5, 4.19753E-07 
-103.5, -94.5, 4.69136E-07 
-94.5, -94.5, 4.69136E-07 
-85.5, -94.5, 4.93827E-07 
-76.5, -94.5, 2.96296E-07 
-67.5, -94.5, 1.72840E-07 
-58.5, -94.5, 9.87654E-08 
-49.5, -94.5, 0.00000E+00 
-40.5, -94.5, 0.00000E+00 
-31.5, -94.5, 0.00000E+00 
-22.5, -94.5, 2.46914E-08 
-13.5, -94.5, 0.00000E+00 
-4.5, -94.5, 0.00000E+00 
4.5, -94.5, 4.93827E-08 
13.5, -94.5, 2.46914E-08 
22.5, -94.5, 0.00000E+00 
31.5, -94.5, 4.93827E-08 
40.5, -94.5, 9.87654E-08 
49.5, -94.5, 1.48148E-07 
58.5, -94.5, 5.18519E-07 
67.5, -94.5, 3.70370E-07 
76.5, -94.5, 1.97531E-07 
85.5, -94.5, 0.00000E+00 
94.5, -94.5, 0.00000E+00 
103.5, -94.5, 0.00000E+00 
112.5, -94.5, 0.00000E+00 
121.5, -94.5, 0.00000E+00 
130.5, -94.5, 0.00000E+00 
139.5, -94.5, 0.00000E+00 
148.5, -94.5, 0.00000E+00 
157.5, -94.5, 0.00000E+00 
166.5, -94.5, 0.00000E+00 
175.5, -94.5, 2.46914E-08 
-175.5, -103.5, 2.46914E-08 
-166.5, -103.5, 1.48148E-07 
-157.5, -103.5, 5.43210E-07 
-148.5, -103.5, 7.40741E-07 
-139.5, -103.5, 8.39506E-07 
-130.5, -103.5, 1.28395E-06 
-121.5, -103.5, 1.08642E-06 
-112.5, -103.5, 9.87654E-07 
-103.5, -103.5, 8.88889E-07 
-94.5, -103.5, 8.64198E-07 
-85.5, -103.5, 3.70370E-07 
-76.5, -103.5, 3.45679E-07 
-67.5, -103.5, 2.71605E-07 
-58.5, -103.5, 2.46914E-08 
-49.5, -103.5, 0.00000E+00 
-40.5, -103.5, 0.00000E+00 
-31.5, -103.5, 0.00000E+00 
-22.5, -103.5, 0.00000E+00 
-13.5, -103.5, 0.00000E+00 
-4.5, -103.5, 0.00000E+00 
4.5, -103.5, 2.46914E-08 
13.5, -103.5, 2.46914E-08 
22.5, -103.5, 4.93827E-08 
31.5, -103.5, 3.20988E-07 
40.5, -103.5, 4.69136E-07 
49.5, -103.5, 6.41975E-07 
58.5, -103.5, 8.14815E-07 
67.5, -103.5, 6.66667E-07 
76.5, -103.5, 1.48148E-07 
85.5, -103.5, 2.46914E-08 
94.5, -103.5, 2.46914E-08 
103.5, -103.5, 0.00000E+00 
112.5, -103.5, 0.00000E+00 
121.5, -103.5, 0.00000E+00 
130.5, -103.5, 0.00000E+00 
139.5, -103.5, 0.00000E+00 
148.5, -103.5, 0.00000E+00 
157.5, -103.5, 0.00000E+00 
166.5, -103.5, 0.00000E+00 
175.5, -103.5, 0.00000E+00 
-175.5, -112.5, 2.46914E-08 
-166.5, -112.5, 4.19753E-07 
-157.5, -112.5, 6.41975E-07 
-148.5, -112.5, 1.55556E-06 
-139.5, -112.5, 2.02469E-06 
-130.5, -112.5, 2.41975E-06 
-121.5, -112.5, 1.85185E-06 
-112.5, -112.5, 2.22222E-06 
-103.5, -112.5, 1.25926E-06 
-94.5, -112.5, 1.40741E-06 
-85.5, -112.5, 9.38272E-07 
-76.5, -112.5, 4.44444E-07 
-67.5, -112.5, 1.48148E-07 
-58.5, -112.5, 7.40741E-08 
-49.5, -112.5, 2.46914E-08 
-40.5, -112.5, 0.00000E+00 
-31.5, -112.5, 0.00000E+00 
-22.5, -112.5, 0.00000E+00 
-13.5, -112.5, 0.00000E+00 
-4.5, -112.5, 0.00000E+00 
4.5, -112.5, 2.46914E-08 
13.5, -112.5, 7.40741E-08 
22.5, -112.5, 2.71605E-07 
31.5, -112.5, 8.39506E-07 
40.5, -112.5, 1.28395E-06 
49.5, -112.5, 2.04938E-06 
58.5, -112.5, 1.87654E-06 
67.5, -112.5, 1.45679E-06 
76.5, -112.5, 4.69136E-07 
85.5, -112.5, 7.40741E-08 
94.5, -112.5, 0.00000E+00 
103.5, -112.5, 0.00000E+00 
112.5, -112.5, 0.00000E+00 
121.5, -112.5, 0.00000E+00 
130.5, -112.5, 0.00000E+00 
139.5, -112.5, 0.00000E+00 
148.5, -112.5, 0.00000E+00 
157.5, -112.5, 0.00000E+00 
166.5, -112.5, 0.00000E+00 
175.5, -112.5, 0.00000E+00 
-175.5, -121.5, 0.00000E+00 
-166.5, -121.5, 5.18519E-07 
-157.5, -121.5, 1.20988E-06 
-148.5, -121.5, 2.37037E-06 
-139.5, -121.5, 2.64198E-06 
-130.5, -121.5, 3.67901E-06 
-121.5, -121.5, 4.00000E-06 
-112.5, -121.5, 2.98765E-06 
-103.5, -121.5, 2.81481E-06 
-94.5, -121.5, 2.27160E-06 
-85.5, -121.5, 1.85185E-06 
-76.5, -121.5, 1.18519E-06 
-67.5, -121.5, 2.96296E-07 
-58.5, -121.5, 7.40741E-08 
-49.5, -121.5, 0.00000E+00 
-40.5, -121.5, 0.00000E+00 
-31.5, -121.5, 0.00000E+00 
-22.5, -121.5, 0.00000E+00 
-13.5, -121.5, 0.00000E+00 
-4.5, -121.5, 0.00000E+00 
4.5, -121.5, 0.00000E+00 
13.5, -121.5, 4.93827E-08 
22.5, -121.5, 2.71605E-07 
31.5, -121.5, 8.88889E-07 
40.5, -121.5, 2.71605E-06 
49.5, -121.5, 4.29630E-06 
58.5, -121.5, 3.95062E-06 
67.5, -121.5, 2.59259E-06 
76.5, -121.5, 1.18519E-06 
85.5, -121.5, 2.71605E-07 
94.5, -121.5, 0.00000E+00 
103.5, -121.5, 0.00000E+00 
112.5, -121.5, 0.00000E+00 
121.5, -121.5, 0.00000E+00 
130.5, -121.5, 0.00000E+00 
139.5, -121.5, 0.00000E+00 
148.5, -121.5, 0.00000E+00 
157.5, -121.5, 0.00000E+00 
166.5, -121.5, 0.00000E+00 
175.5, -121.5, 0.00000E+00 
-175.5, -130.5, 1.23457E-07 
-166.5, -130.5, 6.66667E-07 
-157.5, -130.5, 1.72840E-06 
-148.5, -130.5, 3.90123E-06 
-139.5, -130.5, 4.19753E-06 
-130.5, -130.5, 5.35802E-06 
-121.5, -130.5, 5.08642E-06 
-112.5, -130.5, 4.54321E-06 
-103.5, -130.5, 4.27160E-06 
-94.5, -130.5, 3.40741E-06 
-85.5, -130.5, 2.04938E-06 
-76.5, -130.5, 9.38272E-07 
-67.5, -130.5, 4.19753E-07 
-58.5, -130.5, 9.87654E-08 
-49.5, -130.5, 0.00000E+00 
-40.5, -130.5, 0.00000E+00 
-31.5, -130.5, 0.00000E+00 
-22.5, -130.5, 0.00000E+00 
-13.5, -130.5, 0.00000E+00 
-4.5, -130.5, 0.00000E+00 
4.5, -130.5, 0.00000E+00 
13.5, -130.5, 2.46914E-08 
22.5, -130.5, 1.72840E-07 
31.5, -130.5, 1.01235E-06 
40.5, -130.5, 3.20988E-06 
49.5, -130.5, 5.48148E-06 
58.5, -130.5, 6.98765E-06 
67.5, -130.5, 5.18519E-06 
76.5, -130.5, 1.85185E-06 
85.5, -130.5, 3.95062E-07 
94.5, -130.5, 2.46914E-08 
103.5, -130.5, 2.46914E-08 
112.5, -130.5, 0.00000E+00 
121.5, -130.5, 0.00000E+00 
130.5, -130.5, 0.00000E+00 
139.5, -130.5, 0.00000E+00 
148.5, -130.5, 0.00000E+00 
157.5, -130.5, 0.00000E+00 
166.5, -130.5, 0.00000E+00 
175.5, -130.5, 0.00000E+00 
-175.5, -139.5, 1.97531E-07 
-166.5, -139.5, 6.91358E-07 
-157.5, -139.5, 2.19753E-06 
-148.5, -139.5, 4.32099E-06 
-139.5, -139.5, 4.39506E-06 
-130.5, -139.5, 5.53086E-06 
-121.5, -139.5, 5.82716E-06 
-112.5, -139.5, 5.35802E-06 
-103.5, -139.5, 5.03704E-06 
-94.5, -139.5, 4.49383E-06 
-85.5, -139.5, 2.61728E-06 
-76.5, -139.5, 1.43210E-06 
-67.5, -139.5, 2.71605E-07 
-58.5, -139.5, 1.23457E-07 
-49.5, -139.5, 0.00000E+00 
-40.5, -139.5, 0.00000E+00 
-31.5, -139.5, 0.00000E+00 
-22.5, -139.5, 0.00000E+00 
-13.5, -139.5, 0.00000E+00 
-4.5, -139.5, 0.00000E+00 
4.5, -139.5, 0.00000E+00 
13.5, -139.5, 0.00000E+00 
22.5, -139.5, 4.93827E-08 
31.5, -139.5, 6.41975E-07 
40.5, -139.5, 1.72840E-06 
49.5, -139.5, 4.79012E-06 
58.5, -139.5, 6.61728E-06 
67.5, -139.5, 5.77778E-06 
76.5, -139.5, 2.24691E-06 
85.5, -139.5, 6.17284E-07 
94.5, -139.5, 4.93827E-08 
103.5, -139.5, 0.00000E+00 
112.5, -139.5, 0.00000E+00 
